rr_cd,line_cd,station_cd,line_sort,station_sort,station_g_cd,r_type,rr_name,line_name,station_name,pref_cd,lon,lat,f_flag
11,11103,1110332,11103,1110332,1110332,1,JR,JR函館本線(小樽〜旭川),奈井江,1,141.889115,43.423718,1
11,11103,1110333,11103,1110333,1110333,1,JR,JR函館本線(小樽〜旭川),豊沼,1,141.901032,43.464224,1
11,11103,1110334,11103,1110334,1110334,1,JR,JR函館本線(小樽〜旭川),砂川,1,141.909642,43.493468,1
11,11103,1110335,11103,1110335,1110335,1,JR,JR函館本線(小樽〜旭川),滝川,1,141.900807,43.555278,1
11,11103,1110336,11103,1110336,1110336,1,JR,JR函館本線(小樽〜旭川),江部乙,1,141.935937,43.627564,1
11,11103,1110337,11103,1110337,1110337,1,JR,JR函館本線(小樽〜旭川),妹背牛,1,141.966591,43.690841,1
11,11103,1110338,11103,1110338,1110338,1,JR,JR函館本線(小樽〜旭川),深川,1,142.041642,43.721021,1
11,11103,1110339,11103,1110339,1110339,1,JR,JR函館本線(小樽〜旭川),納内,1,142.130072,43.732509,1
11,11103,1110340,11103,1110340,1110340,1,JR,JR函館本線(小樽〜旭川),伊納,1,142.27167,43.763305,1
11,11103,1110341,11103,1110341,1110341,1,JR,JR函館本線(小樽〜旭川),近文,1,142.325327,43.789193,1
11,11103,1110342,11103,1110342,1110342,1,JR,JR函館本線(小樽〜旭川),旭川,1,142.357803,43.763492,1
11,11104,1110401,11104,1110401,1110138,1,JR,JR室蘭本線(長万部・室蘭〜苫小牧),長万部,1,140.37507,42.512477,1
11,11104,1110402,11104,1110402,1110402,1,JR,JR室蘭本線(長万部・室蘭〜苫小牧),静狩,1,140.460025,42.584065,1
11,11104,1110403,11104,1110403,1110403,1,JR,JR室蘭本線(長万部・室蘭〜苫小牧),小幌,1,140.537361,42.589731,1
11,11104,1110404,11104,1110404,1110404,1,JR,JR室蘭本線(長万部・室蘭〜苫小牧),礼文,1,140.595013,42.580422,1
11,11104,1110405,11104,1110405,1110405,1,JR,JR室蘭本線(長万部・室蘭〜苫小牧),大岸,1,140.639036,42.585969,1
11,11104,1110406,11104,1110406,1110406,1,JR,JR室蘭本線(長万部・室蘭〜苫小牧),豊浦,1,140.71536,42.580323,1
11,11104,1110407,11104,1110407,1110407,1,JR,JR室蘭本線(長万部・室蘭〜苫小牧),洞爺,1,140.763959,42.55055,1
11,11104,1110408,11104,1110408,1110408,1,JR,JR室蘭本線(長万部・室蘭〜苫小牧),有珠,1,140.793969,42.513267,1
11,11104,1110409,11104,1110409,1110409,1,JR,JR室蘭本線(長万部・室蘭〜苫小牧),長和,1,140.833783,42.488262,1
11,11104,1110410,11104,1110410,1110410,1,JR,JR室蘭本線(長万部・室蘭〜苫小牧),伊達紋別,1,140.855802,42.469395,1
11,11104,1110411,11104,1110411,1110411,1,JR,JR室蘭本線(長万部・室蘭〜苫小牧),北舟岡,1,140.880259,42.450528,1
